DATE,RECESSION,OPENINGS,QUITS,HIRES
1/1/2004,0,3424,2354,4900
2/1/2004,0,3532,2448,4788
3/1/2004,0,3525,2582,5227
4/1/2004,0,3511,2534,5152
5/1/2004,0,3710,2428,4976
6/1/2004,0,3337,2659,5009
7/1/2004,0,3814,2609,4891
8/1/2004,0,3541,2586,5013
9/1/2004,0,3821,2531,5062
10/1/2004,0,3943,2550,5149
11/1/2004,0,3472,2789,5181
12/1/2004,0,4074,2695,5153
1/1/2005,0,3804,2732,5201
2/1/2005,0,3965,2651,5276
3/1/2005,0,4044,2747,5273
4/1/2005,0,4159,2741,5362
5/1/2005,0,3797,2763,5271
6/1/2005,0,4062,2754,5376
7/1/2005,0,4256,2735,5328
8/1/2005,0,4142,2957,5409
9/1/2005,0,4352,3046,5493
10/1/2005,0,4184,2863,5124
11/1/2005,0,4248,2895,5344
12/1/2005,0,4282,2849,5294
1/1/2006,0,4397,2945,5271
2/1/2006,0,4325,2965,5474
3/1/2006,0,4732,2956,5524
4/1/2006,0,4790,2778,5215
5/1/2006,0,4463,3002,5498
6/1/2006,0,4614,3042,5455
7/1/2006,0,4394,3047,5573
8/1/2006,0,4710,3056,5373
9/1/2006,0,4737,2888,5288
10/1/2006,0,4591,2983,5375
11/1/2006,0,4645,3043,5495
12/1/2006,0,4620,2999,5214
1/1/2007,0,4763,2956,5426
2/1/2007,0,4699,2933,5160
3/1/2007,0,4962,2997,5479
4/1/2007,0,4689,2911,5353
5/1/2007,0,4657,3010,5469
6/1/2007,0,4859,2910,5267
7/1/2007,0,4598,2951,5217
8/1/2007,0,4546,3014,5358
9/1/2007,0,4652,2691,5344
10/1/2007,0,4636,2926,5398
11/1/2007,0,4646,2784,5176
12/1/2007,0,4545,2773,5119
1/1/2008,1,4624,2847,5071
2/1/2008,1,4279,2881,5077
3/1/2008,1,4225,2661,4924
4/1/2008,1,4035,2837,4948
5/1/2008,1,4194,2607,4691
6/1/2008,1,3830,2595,4893
7/1/2008,1,3749,2489,4637
8/1/2008,1,3674,2445,4682
9/1/2008,1,3222,2468,4499
10/1/2008,1,3377,2347,4548
11/1/2008,1,3231,2157,4104
12/1/2008,1,3146,2084,4348
1/1/2009,1,2738,1976,4095
2/1/2009,1,2864,1952,4061
3/1/2009,1,2534,1834,3858
4/1/2009,1,2295,1712,3888
5/1/2009,1,2549,1683,3758
6/1/2009,1,2503,1685,3639
7/1/2009,0,2232,1685,3857
8/1/2009,0,2338,1555,3810
9/1/2009,0,2487,1627,3944
10/1/2009,0,2406,1660,3838
11/1/2009,0,2503,1810,4024
12/1/2009,0,2568,1766,4004
1/1/2010,0,2837,1742,3904
2/1/2010,0,2666,1844,3864
3/1/2010,0,2679,1856,4302
4/1/2010,0,3153,1897,4159
5/1/2010,0,2988,1813,4420
6/1/2010,0,2801,1911,4111
7/1/2010,0,3082,1785,4163
8/1/2010,0,2999,1842,4046
9/1/2010,0,2918,1895,4034
10/1/2010,0,3235,1846,4173
11/1/2010,0,3211,1887,4182
12/1/2010,0,3058,1977,4299
1/1/2011,0,3104,1832,4000
2/1/2011,0,3226,1958,4231
3/1/2011,0,3261,2033,4430
4/1/2011,0,3259,1882,4296
5/1/2011,0,3179,1965,4261
6/1/2011,0,3455,1923,4366
7/1/2011,0,3623,1986,4261
8/1/2011,0,3329,2031,4298
9/1/2011,0,3774,2041,4429
10/1/2011,0,3619,1997,4370
11/1/2011,0,3565,2039,4365
12/1/2011,0,3768,1981,4356
1/1/2012,0,3909,2030,4457
2/1/2012,0,3616,2130,4560
3/1/2012,0,3979,2167,4575
4/1/2012,0,3793,2134,4389
5/1/2012,0,3835,2138,4533
6/1/2012,0,3911,2152,4440
7/1/2012,0,3735,2072,4327
8/1/2012,0,3809,2069,4450
9/1/2012,0,3882,1950,4302
10/1/2012,0,3775,2035,4389
11/1/2012,0,3878,2078,4489
12/1/2012,0,3970,2051,4452
1/1/2013,0,3923,2280,4487
2/1/2013,0,4004,2298,4571
3/1/2013,0,4076,2124,4369
4/1/2013,0,3988,2296,4572
5/1/2013,0,4145,2234,4663
6/1/2013,0,4150,2203,4440
7/1/2013,0,3885,2363,4561
8/1/2013,0,4085,2316,4730
9/1/2013,0,4128,2302,4726
10/1/2013,0,4222,2372,4518
11/1/2013,0,4119,2391,4622
12/1/2013,0,4121,2287,4614
1/1/2014,0,4127,2311,4626
2/1/2014,0,4373,2411,4696
3/1/2014,0,4388,2449,4763
4/1/2014,0,4566,2474,4880
5/1/2014,0,4747,2483,4808
6/1/2014,0,4982,2507,4925
7/1/2014,0,4846,2633,5008
8/1/2014,0,5349,2549,4810
9/1/2014,0,4914,2732,5149
10/1/2014,0,5012,2718,5111
11/1/2014,0,4843,2600,4978
12/1/2014,0,5130,2552,5192
1/1/2015,0,5344,2764,5061
2/1/2015,0,5466,2741,5127
3/1/2015,0,5210,2754,5126
4/1/2015,0,5598,2705,5196
5/1/2015,0,5563,2743,5142
6/1/2015,0,5248,2756,5125
7/1/2015,0,6056,2764,5150
8/1/2015,0,5467,2879,5163
9/1/2015,0,5488,2778,5287
10/1/2015,0,5773,2810,5338
11/1/2015,0,5708,2897,5358
12/1/2015,0,5845,3056,5540
1/1/2016,0,6012,2875,5220
2/1/2016,0,5770,2994,5470
3/1/2016,0,6129,2917,5359
4/1/2016,0,5803,2955,5294
5/1/2016,0,5777,3009,5197
6/1/2016,0,5742,3018,5281
7/1/2016,0,5962,2967,5426
8/1/2016,0,5677,2998,5327
9/1/2016,0,5868,3047,5306
10/1/2016,0,5591,3074,5210
11/1/2016,0,5971,3026,5308
12/1/2016,0,5964,2989,5343
1/1/2017,0,5617,3188,5499
2/1/2017,0,5923,3089,5350
3/1/2017,0,5811,3150,5395
4/1/2017,0,6091,3028,5272
5/1/2017,0,5826,3111,5477
6/1/2017,0,6305,3154,5635
7/1/2017,0,6238,3097,5497
8/1/2017,0,6276,3103,5519
9/1/2017,0,6320,3190,5450
10/1/2017,0,6408,3219,5581
11/1/2017,0,6271,3186,5494
12/1/2017,0,6336,3222,5421
1/1/2018,0,6621,3019,5512
2/1/2018,0,6552,3222,5624
3/1/2018,0,6818,3323,5623
4/1/2018,0,6877,3370,5590
5/1/2018,0,7016,3382,5859
6/1/2018,0,7230,3382,5760
7/1/2018,0,7190,3426,5649
8/1/2018,0,7208,3423,5815
9/1/2018,0,7411,3391,5625
10/1/2018,0,7304,3458,5907
11/1/2018,0,7594,3511,5826
12/1/2018,0,7489,3407,5768
1/1/2019,0,7502,3517,5786
2/1/2019,0,7066,3547,5704
3/1/2019,0,7317,3529,5689
4/1/2019,0,7272,3501,6016
5/1/2019,0,7275,3472,5686
6/1/2019,0,7194,3474,5801
7/1/2019,0,7042,3654,5871
8/1/2019,0,7178,3540,5900
9/1/2019,0,7124,3447,5963
10/1/2019,0,7289,3452,5781
11/1/2019,0,6888,3541,5847
12/1/2019,0,6699,3487,5951
1/1/2020,0,7124,3563,5981
2/1/2020,0,6966,3497,5990
3/1/2020,1,5894,2933,5171
4/1/2020,1,4606,1991,4029
5/1/2020,0,5612,2259,8133
6/1/2020,0,6129,2594,7477
7/1/2020,0,6530,3020,6320
8/1/2020,0,6429,2931,6004
9/1/2020,0,6511,3185,5966
10/1/2020,0,6798,3311,6091
11/1/2020,0,6820,3209,5894
12/1/2020,0,6773,3369,5577
1/1/2021,0,7204,3285,5594
2/1/2021,0,7752,3429,5772
3/1/2021,0,8470,3661,6148
4/1/2021,0,9356,3909,6216
5/1/2021,0,9905,3836,6013
6/1/2021,0,10298,3985,6606
7/1/2021,0,11049,4031,6732
8/1/2021,0,10956,4122,6390
9/1/2021,0,10879,4320,6653
10/1/2021,0,11341,4131,6652
11/1/2021,0,11119,4491,6811
12/1/2021,0,11417,4387,6596
1/1/2022,0,11238,4404,6400
2/1/2022,0,11661,4321,6806
3/1/2022,0,12134,4499,6607
4/1/2022,0,11881,4457,6614
5/1/2022,0,11483,4259,6461
6/1/2022,0,11256,4139,6510
7/1/2022,0,11610,4005,6470
8/1/2022,0,10148,4200,6443
9/1/2022,0,10812,4111,6206
10/1/2022,0,10488,3945,6104
11/1/2022,0,10619,4080,6134
12/1/2022,0,10876,4173,6113
1/1/2023,0,10393,3833,6347
2/1/2023,0,9846,3926,6020
3/1/2023,0,9572,3820,5932
4/1/2023,0,9992,3619,5954
5/1/2023,0,9310,4013,6128
6/1/2023,0,9191,3689,5930
7/1/2023,0,8606,3562,5646
8/1/2023,0,9287,3618,5824
9/1/2023,0,9279,3638,5772
10/1/2023,0,8550,3558,5700
11/1/2023,0,8663,3549,5501
12/1/2023,0,8585,3370,5614
1/1/2024,0,8468,3353,5572
2/1/2024,0,8445,3468,5664
3/1/2024,0,8093,3329,5472
4/1/2024,0,7619,3414,5584
5/1/2024,0,7901,3355,5573
6/1/2024,0,7412,3284,5088
7/1/2024,0,7504,3390,5451
8/1/2024,0,7649,3177,5230
9/1/2024,0,7103,3085,5519
10/1/2024,0,7615,3217,5350
11/1/2024,0,8031,3032,5307
12/1/2024,0,7508,3095,5374
